
2025/02/23 (11:07:47) | ===> btop++ v.1.4.0
2025/02/23 (11:07:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (11:08:09) | ===> btop++ v.1.4.0
2025/02/23 (11:08:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (11:08:32) | ===> btop++ v.1.4.0
2025/02/23 (11:08:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (22:25:16) | ===> btop++ v.1.4.0
2025/02/23 (22:25:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (22:28:38) | ===> btop++ v.1.4.0
2025/02/23 (22:28:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (21:47:14) | ===> btop++ v.1.4.0
2025/02/25 (21:47:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:19:10) | ===> btop++ v.1.4.0
2025/02/26 (01:19:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (07:14:31) | ===> btop++ v.1.4.0
2025/03/01 (07:14:31) | WARNING: Intel GPU: Failed to initialize PMU
